#,Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
MCC1314-048,Manchester City Council,Regeneration Finance,Proffesional Fees,2013-04-03,5100627810,12500.00,Blue Orchid Management
MCC1314-049,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-03,5100627813,660.20,Wolseley Util Ltd T/A Burdens Ltd
MCC1314-050,Manchester City Council,Regeneration Finance,Proffesional Fees,2013-04-03,5100627814,37500.00,Blue Orchid Management
MCC1314-051,Manchester City Council,Adult Social Care,Rents,2013-04-03,5100627828,11835.00,Coleman Investments Ltd
MCC1314-052,Manchester City Council,Childrens Services,Bed & Breakfast Acc,2013-04-03,5100627829,2060.00,The Leaving Care Co Ltd
MCC1314-053,Manchester City Council,Adult Social Care,Rents,2013-04-03,5100627832,2612.74,Ripley Property Management
MCC1314-054,Manchester City Council,Adult Social Care,Personal needs of client,2013-04-03,5100627835,860.00,Sidhil Ltd
MCC1314-055,Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-04-03,5100627841,506.00,R & M Developments Ltd
MCC1314-056,Manchester City Council,Manchester Leisure,Payments for services,2013-04-03,5100627843,3500.00,Chorlton Park Regeneration Group
MCC1314-057,Manchester City Council,Manchester Leisure,Payments for services,2013-04-03,5100627845,2500.00,Manchester Sports & Leisure Trust
MCC1314-058,Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2013-04-03,5100627849,20520.00,Crystal Ball Ltd
MCC1314-059,Manchester City Council,Adult Social Care,Equipment,2013-04-03,5100627854,1970.00,Hearing Products International Ltd
MCC1314-060,Manchester City Council,Environment and Operations,Construction Works,2013-04-03,5100627868,38501.25,J.Hopkins (Contractors) Ltd.
MCC1314-061,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-04-03,5100627872,37722.51,Manchester Care & Repair Ltd
MCC1314-062,Manchester City Council,Environment and Operations,Construction Works,2013-04-03,5100627878,29897.53,Aggregate Industries T/A Kennedy As
MCC1314-063,Manchester City Council,Manchester Leisure,Payments for services,2013-04-03,5100627882,776.00,Enhance4Youth
MCC1314-064,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-04-03,5100627887,1750.56,Ground Heat Ltd
MCC1314-065,Manchester City Council,Childrens Services,Training and Development,2013-04-03,5100627889,2350.00,Aim Project
MCC1314-066,Manchester City Council,Environment and Operations,Construction Works,2013-04-03,5100627890,28408.32,J.Hopkins (Contractors) Ltd.
MCC1314-067,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-04-03,5100627892,1114.94,Ground Heat Ltd
MCC1314-068,Manchester City Council,Environment and Operations,Construction Works,2013-04-03,5100627894,25700.00,J.Hopkins (Contractors) Ltd.
MCC1314-069,Manchester City Council,Childrens Services,Training and Development,2013-04-03,5100627896,3100.00,Aim Project
MCC1314-070,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-04-03,5100627897,43000.00,Cornerhouse
MCC1314-071,Manchester City Council,Regeneration Finance,Payments for services,2013-04-03,5100627898,25600.00,Commission for the New Economy
MCC1314-072,Manchester City Council,Corporate Services,Training and Development,2013-04-03,5100627900,710.00,Arc People Development Ltd
MCC1314-073,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-04-03,5100627902,4226.00,Stannah Lift Services Ltd
MCC1314-074,Manchester City Council,Environment and Operations,Construction Works,2013-04-03,5100627903,25500.00,Aggregate Industries T/A Kennedy As
MCC1314-075,Manchester City Council,Environment and Operations,Construction Works,2013-04-03,5100627905,24000.00,Aggregate Industries T/A Kennedy As
MCC1314-076,Manchester City Council,Chief Executives,Construction Works,2013-04-03,5100627907,65000.00,Aggregate Industries T/A Kennedy As
MCC1314-077,Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,2013-04-03,5100627908,58974.61,Barnardo's North West
MCC1314-078,Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,2013-04-03,5100627910,162532.00,National Football Museum
MCC1314-079,Manchester City Council,Hospitality + Trading Services,Equipment,2013-04-03,5100627911,18862.20,Peel Mount Contract Furnishings Ltd
MCC1314-080,Manchester City Council,Chief Executives,Hire of Equipment,2013-04-03,5100627912,1070.97,Smiths Marquees
MCC1314-081,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-03,5100627914,1568.19,Reed Employment Plc
MCC1314-082,Manchester City Council,Childrens Services,Agency staff provision,2013-04-03,5100627914,865.72,Reed Employment Plc
MCC1314-083,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-04-03,5100627918,122731.00,GB Building Solutions Ltd
MCC1314-084,Manchester City Council,Corporate Services,Agency staff provision,2013-04-03,5100627930,1838.76,Morson International
MCC1314-085,Manchester City Council,Hospitality + Trading Services,Agency staff provision,2013-04-03,5100627931,500.15,Morson International
MCC1314-086,Manchester City Council,Childrens Services,Proffesional fees,2013-04-03,5100627933,7714.00,Music Stuff
MCC1314-087,Manchester City Council,Environment and Operations,Construction Works,2013-04-03,5100627934,48443.35,J.Hopkins (Contractors) Ltd.
MCC1314-088,Manchester City Council,Adult Social Care,CAMC/Not assigned,2013-04-03,5100627969,1400.00,Hays Personnel
MCC1314-089,Manchester City Council,Childrens Services,Agency staff provision,2013-04-03,5100627970,511.00,Hays Personnel
MCC1314-090,Manchester City Council,Chief Executives,Agency staff provision,2013-04-03,5100627971,1176.48,Hays Personnel
MCC1314-091,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-03,5100627972,2158.40,Hays Personnel
MCC1314-092,Manchester City Council,Chief Executives,Agency staff provision,2013-04-03,5100627974,1043.00,Hays Personnel
MCC1314-093,Manchester City Council,Hospitality + Trading Services,Agency staff provision,2013-04-03,5100627975,2015.31,Hays Personnel
MCC1314-094,Manchester City Council,Chief Executives,Agency staff provision,2013-04-03,5100627978,1817.20,Hays Personnel
MCC1314-095,Manchester City Council,Hospitality + Trading Services,Agency staff provision,2013-04-03,5100627980,3000.90,Hays Personnel
MCC1314-096,Manchester City Council,Corporate Services,Agency staff provision,2013-04-03,5100627981,2121.14,Hays Personnel
MCC1314-097,Manchester City Council,Hospitality + Trading Services,Agency staff provision,2013-04-03,5100627982,1364.22,Hays Personnel
MCC1314-098,Manchester City Council,Childrens Services,Agency staff provision,2013-04-03,5100627987,715.40,Hays Personnel
MCC1314-099,Manchester City Council,Hospitality + Trading Services,Agency staff provision,2013-04-03,5100627990,1119.69,Hays Personnel
MCC1314-100,Manchester City Council,Corporate Services,Agency staff provision,2013-04-03,5100627991,2024.98,Hays Personnel
MCC1314-101,Manchester City Council,Hospitality + Trading Services,Agency staff provision,2013-04-03,5100627992,2728.02,Hays Personnel
MCC1314-102,Manchester City Council,Hospitality + Trading Services,Agency staff provision,2013-04-03,5100627994,1514.04,Hays Personnel
MCC1314-103,Manchester City Council,Chief Executives,Agency staff provision,2013-04-03,5100627996,3367.40,Hays Personnel
MCC1314-104,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-03,5100627997,1322.40,Hays Personnel
MCC1314-105,Manchester City Council,Chief Executives,Agency staff provision,2013-04-03,5100628000,11717.68,Hays Personnel
MCC1314-106,Manchester City Council,Chief Executives,Agency staff provision,2013-04-03,5100628002,5609.70,Hays Personnel
MCC1314-107,Manchester City Council,Childrens Services,Agency staff provision,2013-04-03,5100628004,1029.84,Hays Personnel
MCC1314-108,Manchester City Council,Childrens Services,Agency staff provision,2013-04-03,5100628005,908.15,Hays Personnel
MCC1314-109,Manchester City Council,Adult Social Care,CAMC/Not assigned,2013-04-03,5100628006,3500.00,Hays Personnel
MCC1314-110,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1700034642,-8523.97,British Gas Business
MCC1314-111,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1700034643,-21714.83,British Gas Business
MCC1314-112,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1700034644,-9074.07,British Gas Business
MCC1314-113,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1700034645,-8317.05,British Gas Business
MCC1314-114,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1700034646,-9112.44,British Gas Business
MCC1314-115,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1700034647,-7826.68,British Gas Business
MCC1314-116,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1700034648,-7675.06,British Gas Business
MCC1314-117,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1700034649,-9140.95,British Gas Business
MCC1314-118,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1700034650,-9053.91,British Gas Business
MCC1314-119,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1700034651,-10707.57,British Gas Business
MCC1314-120,Manchester City Council,Corporate Services,Child Care Vouchers,2013-04-04,1903595469,611.78,Edenred (Admin)
MCC1314-121,Manchester City Council,Corporate Services,Child Care Vouchers,2013-04-04,1903595472,503.29,Edenred (Admin)
MCC1314-122,Manchester City Council,Chief Executives,Postage,2013-04-04,1903600670,1000.65,Royal Mail Group Plc
MCC1314-123,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600904,8102.91,British Gas Business
MCC1314-124,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600905,20426.89,British Gas Business
MCC1314-125,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600906,9041.07,British Gas Business
MCC1314-126,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600907,8282.95,British Gas Business
MCC1314-127,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600908,9078.34,British Gas Business
MCC1314-128,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600909,7793.68,British Gas Business
MCC1314-129,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600910,7640.96,British Gas Business
MCC1314-130,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600911,9107.95,British Gas Business
MCC1314-131,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600912,9019.81,British Gas Business
MCC1314-132,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600913,10673.47,British Gas Business
MCC1314-133,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600914,9920.37,British Gas Business
MCC1314-134,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600916,3915.58,British Gas Business
MCC1314-135,Manchester City Council,Corporate Services,Electricity,2013-04-04,1903600917,2558.91,British Gas Business
MCC1314-136,Manchester City Council,Corporate Services,Electricity,2013-04-04,1903600918,4208.60,British Gas Business
MCC1314-137,Manchester City Council,Hospitality + Trading Services,Electricity,2013-04-04,1903600919,19401.79,British Gas Business
MCC1314-138,Manchester City Council,Hospitality + Trading Services,Electricity,2013-04-04,1903600920,22061.15,British Gas Business
MCC1314-139,Manchester City Council,Manchester Leisure,Electricity,2013-04-04,1903600921,11081.32,British Gas Business
MCC1314-140,Manchester City Council,Hospitality + Trading Services,Electricity,2013-04-04,1903600922,11313.84,British Gas Business
MCC1314-141,Manchester City Council,Corporate Services,Electricity,2013-04-04,1903600924,10922.50,British Gas Business
MCC1314-142,Manchester City Council,Libraries and Theatres,Electricity,2013-04-04,1903600925,3786.08,British Gas Business
MCC1314-143,Manchester City Council,Regeneration Finance,Electricity,2013-04-04,1903600926,1415.21,British Gas Business
MCC1314-144,Manchester City Council,Libraries and Theatres,Electricity,2013-04-04,1903600927,1569.37,British Gas Business
MCC1314-145,Manchester City Council,Libraries and Theatres,Electricity,2013-04-04,1903600928,2293.79,British Gas Business
MCC1314-146,Manchester City Council,Hospitality + Trading Services,Electricity,2013-04-04,1903600929,1694.90,British Gas Business
MCC1314-147,Manchester City Council,Hospitality + Trading Services,Electricity,2013-04-04,1903600930,1807.63,British Gas Business
MCC1314-148,Manchester City Council,Manchester Leisure,Electricity,2013-04-04,1903600931,4275.35,British Gas Business
MCC1314-149,Manchester City Council,Corporate Services,Electricity,2013-04-04,1903600932,9456.64,British Gas Business
MCC1314-150,Manchester City Council,Libraries and Theatres,Electricity,2013-04-04,1903600933,7604.59,British Gas Business
MCC1314-151,Manchester City Council,Manchester Leisure,Electricity,2013-04-04,1903600934,3828.11,British Gas Business
MCC1314-152,Manchester City Council,Chief Executives,Electricity,2013-04-04,1903600935,16785.79,British Gas Business
MCC1314-153,Manchester City Council,Hospitality + Trading Services,Electricity,2013-04-04,1903600936,2378.81,British Gas Business
MCC1314-154,Manchester City Council,Environment and Operations,Electricity,2013-04-04,1903600937,1192.91,British Gas Business
MCC1314-155,Manchester City Council,Hospitality + Trading Services,Electricity,2013-04-04,1903600938,8280.11,British Gas Business
MCC1314-156,Manchester City Council,Environment and Operations,Electricity,2013-04-04,1903600939,1127.23,British Gas Business
MCC1314-157,Manchester City Council,Childrens Services,Electricity,2013-04-04,1903600940,1959.62,British Gas Business
MCC1314-158,Manchester City Council,Adult Social Care,Electricity,2013-04-04,1903600941,1262.51,British Gas Business
MCC1314-159,Manchester City Council,Corporate Services,Electricity,2013-04-04,1903600943,1610.75,British Gas Business
MCC1314-160,Manchester City Council,Corporate Services,Electricity,2013-04-04,1903600945,2221.89,British Gas Business
MCC1314-161,Manchester City Council,Manchester Leisure,Electricity,2013-04-04,1903600946,1282.34,British Gas Business
MCC1314-162,Manchester City Council,Corporate Services,Electricity,2013-04-04,1903600947,15669.06,British Gas Business
MCC1314-163,Manchester City Council,Hospitality + Trading Services,Electricity,2013-04-04,1903600948,4267.94,British Gas Business
MCC1314-164,Manchester City Council,Housing Revenue Account,Electricity,2013-04-04,1903600951,3265.34,E.on UK Plc
MCC1314-165,Manchester City Council,Housing Revenue Account,Electricity,2013-04-04,1903600952,3194.35,E.on UK Plc
MCC1314-166,Manchester City Council,Adult Social Care,Water - Metered,2013-04-04,1903600953,505.99,United Utilities Water Plc
MCC1314-167,Manchester City Council,Chief Executives,Occupational Health services,2013-04-04,1903601192,537.60,Healthwork Ltd
MCC1314-168,Manchester City Council,Chief Executives,Occupational Health services,2013-04-04,1903601193,3570.00,Healthwork Ltd
MCC1314-169,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-04,1903601402,55242.06,Bramall Construction Ltd
MCC1314-170,Manchester City Council,Childrens Services,Legal Fees,2013-04-04,1903601640,3095.00,HMCTS (Manchester County Court)
MCC1314-171,Manchester City Council,Childrens Services,Legal Fees,2013-04-04,1903601640,1900.00,HMCTS (Manchester County Court)
MCC1314-172,Manchester City Council,Chief Executives,Compensation Payments,2013-04-04,1903601640,5850.00,HMCTS (Manchester County Court)
MCC1314-173,Manchester City Council,Manchester Leisure,Library Materials Acquisition,2013-04-04,1903601652,9450.00,NewsBank Inc
MCC1314-174,Manchester City Council,Childrens Services,Foster Payments,2013-04-04,1903601653,733.50,Redacted Personal Information
MCC1314-175,Manchester City Council,Adult Social Care,Cont from Other,2013-04-04,1903601655,20000.00,South Manchester Credit Union
MCC1314-176,Manchester City Council,Childrens Services,Foster Payments,2013-04-04,1903601656,780.24,Redacted Personal Information
MCC1314-177,Manchester City Council,Adult Social Care,Cont from Other,2013-04-04,1903601658,20000.00,Manchester Credit Union
MCC1314-178,Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2013-04-04,5100627719,39137.70,Manchester Van Hire Ltd
MCC1314-179,Manchester City Council,Chief Executives,Licences Purchase,2013-04-04,5100627726,9709.83,Computerland Uk Ltd
MCC1314-180,Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2013-04-04,5100627729,3750.00,Computerland Uk Ltd
MCC1314-181,Manchester City Council,Housing Revenue Account,I T Provision,2013-04-04,5100627733,1117.74,Computerland Uk Ltd
MCC1314-182,Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2013-04-04,5100627737,45551.80,Specialist Vehicle rental
MCC1314-183,Manchester City Council,Environment and Operations,Construction Works,2013-04-04,5100627881,29405.69,Aggregate Industries T/A Kennedy As
MCC1314-184,Manchester City Council,Childrens Services,External repairs and maintenance for buildings,2013-04-04,5100627888,28644.00,GB Building Solutions Ltd
MCC1314-185,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-04-04,5100627929,84940.00,Pts Plumbing Trade Supplies
MCC1314-186,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-04-04,5100627929,5636.62,Pts Plumbing Trade Supplies
MCC1314-187,Manchester City Council,Environment and Operations,Construction Works,2013-04-04,5100627943,48968.15,J.Hopkins (Contractors) Ltd.
MCC1314-188,Manchester City Council,Chief Executives,Construction Works,2013-04-04,5100627945,53109.90,Aggregate Industries T/A Kennedy As
MCC1314-189,Manchester City Council,Chief Executives,Advertising,2013-04-04,5100627947,3530.80,MEN Media Ltd
MCC1314-190,Manchester City Council,Chief Executives,Advertising,2013-04-04,5100627947,895.05,MEN Media Ltd
MCC1314-191,Manchester City Council,Environment and Operations,Construction Works,2013-04-04,5100627949,54229.28,J.Hopkins (Contractors) Ltd.
MCC1314-192,Manchester City Council,Environment and Operations,Construction Works,2013-04-04,5100627952,42000.00,J.Hopkins (Contractors) Ltd.
MCC1314-193,Manchester City Council,Environment and Operations,Construction Works,2013-04-04,5100627954,39000.00,J.Hopkins (Contractors) Ltd.
MCC1314-194,Manchester City Council,Chief Executives,Postage,2013-04-04,5100627957,1344.62,Royal Mail Group Plc
MCC1314-195,Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,2013-04-04,5100627958,21133.10,Ocean Contract Cleaning Ltd
MCC1314-196,Manchester City Council,Childrens Services,Hire of Premises,2013-04-04,5100627960,750.00,Manchester City Football Club Plc
MCC1314-197,Manchester City Council,Manchester Leisure,Equipment,2013-04-04,5100627961,1082.50,Tim Garbutt Events Ltd
MCC1314-198,Manchester City Council,Chief Executives,Proffesional Fees,2013-04-04,5100628003,36001.73,MK Illuminations UK Ltd
MCC1314-199,Manchester City Council,Corporate Services,Payments to Sub-Contractors,2013-04-04,5100628011,20000.00,J.Hopkins (Contractors) Ltd.
MCC1314-200,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-04-04,5100628013,-1171.41,Computerland Uk Ltd
MCC1314-201,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-04-04,5100628016,705.53,Computerland Uk Ltd
MCC1314-202,Manchester City Council,Environment and Operations,Construction Works,2013-04-04,5100628020,21619.88,J.Hopkins (Contractors) Ltd.
MCC1314-203,Manchester City Council,Environment and Operations,Construction Works,2013-04-04,5100628021,25000.00,J.Hopkins (Contractors) Ltd.
MCC1314-204,Manchester City Council,Environment and Operations,Construction Works,2013-04-04,5100628023,24494.41,J.Hopkins (Contractors) Ltd.
MCC1314-205,Manchester City Council,Environment and Operations,Construction Works,2013-04-04,5100628024,20661.71,J.Hopkins (Contractors) Ltd.
MCC1314-206,Manchester City Council,Learning Disabilities PB,Rents,2013-04-04,5100628031,-2472.16,Great Places Housing Association
MCC1314-207,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628032,750.12,Search Consultancy Ltd
MCC1314-208,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628032,798.00,Search Consultancy Ltd
MCC1314-209,Manchester City Council,Chief Executives,Agency staff provision,2013-04-04,5100628032,1859.92,Search Consultancy Ltd
MCC1314-210,Manchester City Council,Chief Executives,Agency staff provision,2013-04-04,5100628032,718.31,Search Consultancy Ltd
MCC1314-211,Manchester City Council,Chief Executives,Agency staff provision,2013-04-04,5100628032,653.03,Search Consultancy Ltd
MCC1314-212,Manchester City Council,Adult Social Care,Transport Taxis,2013-04-04,5100628032,785.09,Search Consultancy Ltd
MCC1314-213,Manchester City Council,Chief Executives,Payments to Sub-Contractors,2013-04-04,5100628038,22500.00,Marketing Manchester
MCC1314-214,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628043,633.60,Semester Recruitment Ltd
MCC1314-215,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628048,736.75,Semester Recruitment Ltd
MCC1314-216,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628049,550.70,Semester Recruitment Ltd
MCC1314-217,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628050,736.75,Semester Recruitment Ltd
MCC1314-218,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628053,672.35,Semester Recruitment Ltd
MCC1314-219,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628055,765.95,Semester Recruitment Ltd
MCC1314-220,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628059,572.95,Semester Recruitment Ltd
MCC1314-221,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628060,771.05,Semester Recruitment Ltd
MCC1314-222,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628061,913.50,Semester Recruitment Ltd
MCC1314-223,Manchester City Council,Adult Social Care,Transport Taxis,2013-04-04,5100628062,741.63,Semester Recruitment Ltd
MCC1314-224,Manchester City Council,Chief Executives,Agency staff provision,2013-04-04,5100628065,672.35,Semester Recruitment Ltd
MCC1314-225,Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,2013-04-04,5100628071,967.83,Amtoll Ltd
MCC1314-226,Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,2013-04-04,5100628075,674.20,Amtoll Ltd
MCC1314-227,Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2013-04-04,5100628082,2025.00,Kenny Bros (Civil Eng) Ltd
MCC1314-228,Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2013-04-04,5100628089,2250.00,Kenny Bros (Civil Eng) Ltd
MCC1314-229,Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2013-04-04,5100628092,2250.00,Kenny Bros (Civil Eng) Ltd
